ProductType;RuleName;ESAProductType
S3_SY_2_VG1___;S3_SY;SY_2_VG1___
S3_SY_2_VGK___;S3_SY;SY_2_VGK___
S3_SY_2_VGP___;S3_SY;SY_2_VGP___
S3_TM_0_HKM2__;S3_L0;TM_0_HKM2__
S3_TM_0_HKM___;S3_L0;TM_0_HKM___
S3_TM_0_NAT___;S3_L0;TM_0_NAT___
S3_AX___CLM_AX;S3_AX;AX___CLM_AX
S3_AX___CST_AX;S3_AX;AX___CST_AX
S3_AX___DEM_AX;S3_AX;AX___DEM_AX
S3_AX___LWM_AX;S3_AX;AX___LWM_AX
S3_AX___MA1_AX;S3_AX;AX___MA1_AX
S3_AX___MA2_AX;S3_AX;AX___MA2_AX
S3_AX___MFA_AX;S3_AX;AX___MFA_AX
S3_AX___OOM_AX;S3_AX;AX___OOM_AX
S3_AX___TRM_AX;S3_AX;AX___TRM_AX
S3_AX___MF1_AX;S3_AX;AX___MF1_AX
S3_AX___MF2_AX;S3_AX;AX___MF2_AX
S3_AX___OSF_AX;S3_AX;AX___OSF_AX
S3_SL_2_DIMSAX;S3_AX;SL_2_DIMSAX
S3_SL_2_LSTBAX;S3_AX;SL_2_LSTBAX
S3_SL_2_LSTVAX;S3_AX;SL_2_LSTVAX
S3_SL_2_LSTWAX;S3_AX;SL_2_LSTWAX
S3_SL_2_SSTAAX;S3_AX;SL_2_SSTAAX
S3_SL_2_SST_AX;S3_AX;SL_2_SST_AX
S3_SR_2_CP00AX;S3_AX;SR_2_CP00AX
S3_SR_2_CP06AX;S3_AX;SR_2_CP06AX
S3_SR_2_CP12AX;S3_AX;SR_2_CP12AX
S3_SR_2_CP18AX;S3_AX;SR_2_CP18AX
S3_SR_2_EOT1AX;S3_AX;SR_2_EOT1AX
S3_SR_2_EOT2AX;S3_AX;SR_2_EOT2AX
S3_SR_2_FLT_AX;S3_AX;SR_2_FLT_AX
S3_SR_2_GEO_AX;S3_AX;SR_2_GEO_AX
S3_SR_2_LNEQAX;S3_AX;SR_2_LNEQAX
S3_SR_2_LRC_AX;S3_AX;SR_2_LRC_AX
S3_SR_2_LT1_AX;S3_AX;SR_2_LT1_AX
S3_SR_2_LT2_AX;S3_AX;SR_2_LT2_AX
S3_SR_2_LUTEAX;S3_AX;SR_2_LUTEAX
S3_SR_2_LUTSAX;S3_AX;SR_2_LUTSAX
S3_SR_2_MAG_AX;S3_AX;SR_2_MAG_AX
S3_SR_2_MDT_AX;S3_AX;SR_2_MDT_AX
S3_SR_2_MLM_AX;S3_AX;SR_2_MLM_AX
S3_SR_2_MSMGAX;S3_AX;SR_2_MSMGAX
S3_SR_2_MSS1AX;S3_AX;SR_2_MSS1AX
S3_SR_2_MSS2AX;S3_AX;SR_2_MSS2AX
S3_SR_2_ODLEAX;S3_AX;SR_2_ODLEAX
S3_SR_2_PMO_AX;S3_AX;SR_2_PMO_AX
S3_SR_2_POL_AX;S3_AX;SR_2_POL_AX
S3_SR_2_RET_AX;S3_AX;SR_2_RET_AX
S3_SR_2_RMO_AX;S3_AX;SR_2_RMO_AX
S3_SR_2_RRC_AX;S3_AX;SR_2_RRC_AX
S3_SR_2_S1AMAX;S3_AX;SR_2_S1AMAX
S3_SR_2_S1PHAX;S3_AX;SR_2_S1PHAX
S3_SR_2_S2AMAX;S3_AX;SR_2_S2AMAX
S3_SR_2_S2PHAX;S3_AX;SR_2_S2PHAX
S3_SR_2_SD01AX;S3_AX;SR_2_SD01AX
S3_SR_2_SD02AX;S3_AX;SR_2_SD02AX
S3_SR_2_SD03AX;S3_AX;SR_2_SD03AX
S3_SR_2_SD04AX;S3_AX;SR_2_SD04AX
S3_SR_2_SD05AX;S3_AX;SR_2_SD05AX
S3_SR_2_SD06AX;S3_AX;SR_2_SD06AX
S3_SR_2_SD07AX;S3_AX;SR_2_SD07AX
S3_SR_2_SD08AX;S3_AX;SR_2_SD08AX
S3_SR_2_SD09AX;S3_AX;SR_2_SD09AX
S3_SR_2_SD10AX;S3_AX;SR_2_SD10AX
S3_SR_2_SD11AX;S3_AX;SR_2_SD11AX
S3_SR_2_SD12AX;S3_AX;SR_2_SD12AX
S3_SR_2_SET_AX;S3_AX;SR_2_SET_AX
S3_SR_2_SFL_AX;S3_AX;SR_2_SFL_AX
S3_SR_2_SHD_AX;S3_AX;SR_2_SHD_AX
S3_SR_2_SI01AX;S3_AX;SR_2_SI01AX
S3_SR_2_SI02AX;S3_AX;SR_2_SI02AX
S3_SR_2_SI03AX;S3_AX;SR_2_SI03AX
S3_SR_2_SI04AX;S3_AX;SR_2_SI04AX
S3_SR_2_SI05AX;S3_AX;SR_2_SI05AX
S3_SR_2_SI06AX;S3_AX;SR_2_SI06AX
S3_SR_2_SI07AX;S3_AX;SR_2_SI07AX
S3_SR_2_SI08AX;S3_AX;SR_2_SI08AX
S3_SR_2_SI09AX;S3_AX;SR_2_SI09AX
S3_SR_2_SI10AX;S3_AX;SR_2_SI10AX
S3_SR_2_SI11AX;S3_AX;SR_2_SI11AX
S3_SR_2_SI12AX;S3_AX;SR_2_SI12AX
S3_SR_2_SIC_AX;S3_AX;SR_2_SIC_AX
S3_SR_2_SIGLAX;S3_AX;SR_2_SIGLAX
S3_SR_2_SIGSAX;S3_AX;SR_2_SIGSAX
